timestamp,Keypad4,Keypad3,Keypad2,Keypad1,Opto4,Opto3,Opto2,Opto1,TTLin2,TTLin1,Mic2,Mic1,ActClose4,ActClose3,ActClose2,ActClose1,TTLout2,TTLout1,Sounder2,Sounder1
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2095.500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2194.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4201.000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4205.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4707.500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4712.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5213.250,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5217.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5719.500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5724.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6226.000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6230.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6732.750,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6737.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7239.000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7243.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7745.750,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7749.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8252.500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8257.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8759.250,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8763.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9266.000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9270.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9772.250,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9776.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10278.250,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10282.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10784.250,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10789.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11291.000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11294.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11797.500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11802.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12304.000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12308.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12810.500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12814.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13317.250,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13322.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13824.000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13828.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16340.250,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16350.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16851.750,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
