sample,host_us,device_us,roundtrip_us
0,5270.255,1107336,2996.850
1,62212795.406,63253612,3963.445
2,122303256.860,123286972,984.213
3,182421010.318,183345452,2479.676
4,209744779.874,210642852,2003.661
